epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,926.141,0.80272,0.77552,0.96558,0.65278,0.84615,0.80942,0.32132,2.09704,1.43164,1.39125,0.000645557,0.000645557,0.000645557
95,935.519,0.59659,1.53927,0.66181,0.69615,0.88234,0.81502,0.30183,2.12447,1.48791,1.38825,0.00062636,0.00062636,0.00062636
96,944.933,0.97301,0.9742,0.93677,0.69924,0.89526,0.81789,0.31098,2.15691,1.49192,1.40029,0.000607331,0.000607331,0.000607331
97,954.313,0.85902,0.83169,0.97792,0.69924,0.89526,0.81789,0.31098,2.15691,1.49192,1.40029,0.000588479,0.000588479,0.000588479
98,963.552,0.93865,0.80683,0.97844,0.74624,0.76923,0.83072,0.30124,2.17725,1.48846,1.42422,0.000569811,0.000569811,0.000569811
99,973.472,0.67284,0.7959,0.90745,0.78366,0.83657,0.87873,0.33021,2.15577,1.44428,1.43622,0.000551337,0.000551337,0.000551337
100,984.636,0.85229,0.84091,0.90919,0.77656,0.84615,0.82731,0.30453,2.13959,1.393,1.45243,0.000533064,0.000533064,0.000533064
101,994.658,0.95985,0.76786,0.90915,0.77656,0.84615,0.82731,0.30453,2.13959,1.393,1.45243,0.000515,0.000515,0.000515
102,1004.12,0.70257,0.67487,0.91831,0.8238,0.84615,0.83703,0.32375,2.13914,1.36024,1.47156,0.000497153,0.000497153,0.000497153
103,1013.19,0.79897,0.73807,0.9504,0.79742,0.9092,0.87311,0.34724,2.10953,1.32599,1.45466,0.000479531,0.000479531,0.000479531
104,1024.7,0.85553,0.83681,0.96003,0.91533,0.83259,0.9117,0.3661,2.09775,1.30081,1.45548,0.000462142,0.000462142,0.000462142
105,1036,0.74345,0.69201,0.93151,0.91533,0.83259,0.9117,0.3661,2.09775,1.30081,1.45548,0.000444994,0.000444994,0.000444994
106,1046.99,1.04048,1.375,1.13273,0.91483,0.82753,0.893,0.37162,2.07965,1.25629,1.44529,0.000428093,0.000428093,0.000428093
107,1056.98,0.83793,0.71346,0.96213,0.91532,0.83245,0.89939,0.36936,2.05567,1.2675,1.42387,0.000411447,0.000411447,0.000411447
108,1066.89,0.8676,0.86636,1.04001,0.85653,0.91878,0.90397,0.37053,2.03742,1.25619,1.41445,0.000395064,0.000395064,0.000395064
109,1076.76,0.76341,0.72223,0.91567,0.85653,0.91878,0.90397,0.37053,2.03742,1.25619,1.41445,0.00037895,0.00037895,0.00037895
110,1087.26,0.77684,0.75675,0.97797,0.85647,0.91835,0.89458,0.35625,2.06271,1.26438,1.42509,0.000363114,0.000363114,0.000363114
111,1096.84,0.85767,0.94056,1.02408,0.85662,0.91943,0.89458,0.35959,2.08232,1.26772,1.42442,0.000347561,0.000347561,0.000347561
112,1106.97,0.77488,0.69686,0.88123,0.8563,0.91718,0.89458,0.36721,2.07891,1.25568,1.41189,0.000332298,0.000332298,0.000332298
113,1116.82,0.48809,1.42949,0.62877,0.8563,0.91718,0.89458,0.36721,2.07891,1.25568,1.41189,0.000317333,0.000317333,0.000317333
114,1126.22,0.88632,0.88633,1.01397,0.85649,0.91849,0.89724,0.36499,2.06578,1.248,1.4147,0.000302672,0.000302672,0.000302672
115,1136.13,0.74357,0.7278,0.93659,0.78474,0.84615,0.78887,0.36562,2.04564,1.24717,1.4182,0.000288321,0.000288321,0.000288321
116,1146.51,0.75614,0.87871,0.88219,0.78218,0.84615,0.78772,0.34566,2.0486,1.27028,1.4241,0.000274287,0.000274287,0.000274287
117,1157.24,0.6708,0.66604,0.88673,0.78218,0.84615,0.78772,0.34566,2.0486,1.27028,1.4241,0.000260575,0.000260575,0.000260575
118,1167.33,0.75864,0.81149,0.96443,0.78103,0.84615,0.78772,0.34643,2.05461,1.27193,1.42924,0.000247192,0.000247192,0.000247192
119,1176.91,0.79809,0.70014,0.95345,0.7795,0.84615,0.78887,0.35982,2.05486,1.26555,1.42969,0.000234143,0.000234143,0.000234143
120,1187.37,0.70261,0.67895,0.91319,0.77909,0.84615,0.78887,0.36465,2.0673,1.25949,1.43384,0.000221435,0.000221435,0.000221435
121,1197.6,0.67461,0.70936,0.93044,0.77909,0.84615,0.78887,0.36465,2.0673,1.25949,1.43384,0.000209073,0.000209073,0.000209073
122,1208.63,0.70223,0.70435,0.90757,0.77839,0.84615,0.80126,0.3687,2.07122,1.25023,1.43807,0.000197062,0.000197062,0.000197062
123,1219.35,0.74405,0.68259,0.90906,0.77902,0.84615,0.81014,0.37657,2.06865,1.24027,1.443,0.000185408,0.000185408,0.000185408
124,1229.67,0.7528,0.72816,0.91002,0.77955,0.84615,0.81015,0.36897,2.05749,1.2222,1.44678,0.000174115,0.000174115,0.000174115
125,1239.86,0.73334,0.72506,0.94382,0.77955,0.84615,0.81015,0.36897,2.05749,1.2222,1.44678,0.000163189,0.000163189,0.000163189
126,1249.65,0.8128,0.8384,0.9286,0.77932,0.84615,0.81015,0.38015,2.04755,1.20853,1.4393,0.000152635,0.000152635,0.000152635
127,1259.57,0.75994,0.86312,1.0047,0.77978,0.84615,0.81015,0.3803,2.03625,1.20547,1.44201,0.000142456,0.000142456,0.000142456
128,1269.67,0.63348,0.76965,0.97741,0.78014,0.84615,0.81729,0.37963,2.02443,1.19906,1.43798,0.000132658,0.000132658,0.000132658
129,1279.55,0.55788,0.66257,0.95154,0.78014,0.84615,0.81729,0.37963,2.02443,1.19906,1.43798,0.000123245,0.000123245,0.000123245
130,1289.55,0.58081,0.58868,0.85043,0.77998,0.84615,0.80868,0.37149,2.01745,1.2006,1.4371,0.000114221,0.000114221,0.000114221
131,1299.77,0.66216,0.66536,0.88682,0.77973,0.84615,0.80868,0.36155,2.0165,1.19916,1.43554,0.00010559,0.00010559,0.00010559
132,1309.77,1.00591,0.70691,0.90136,0.78016,0.84615,0.80868,0.36154,2.00718,1.20028,1.43392,9.73555e-05,9.73555e-05,9.73555e-05
